data;estado;value;treated
2001-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2001-12-01;sao_paulo;100.85;0
2001-12-01;minas_gerais;104.37;0
2001-12-01;espirito_santo;104.73;0
2001-12-01;Rio_de_Janeiro;99.66;0
2002-01-01;SC;103.42;0
2002-01-01;parana;106.41;0
2002-01-01;RS;104.53;0
2002-01-01;GO;111.01;0
2002-01-01;DF;111.01;0
2002-01-01;BA;102.21;0
2002-01-01;CE;100.64;0
2002-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-01-01;sao_paulo;101.72;0
2002-01-01;minas_gerais;103.46;0
2002-01-01;espirito_santo;104.48;0
2002-01-01;Rio_de_Janeiro;100.58;0
2002-02-01;SC;104.37;0
2002-02-01;parana;108.64;0
2002-02-01;RS;105.29;0
2002-02-01;GO;111.47;0
2002-02-01;DF;111.47;0
2002-02-01;BA;102.97;0
2002-02-01;CE;101.44;0
2002-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-02-01;sao_paulo;102.83;0
2002-02-01;minas_gerais;103.03;0
2002-02-01;espirito_santo;105.49;0
2002-02-01;Rio_de_Janeiro;100.69;0
2002-03-01;SC;104.98;0
2002-03-01;parana;109.92;0
2002-03-01;RS;110.26;0
2002-03-01;GO;112.06;0
2002-03-01;DF;112.06;0
2002-03-01;BA;106.13;0
2002-03-01;CE;102.14;0
2002-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-03-01;sao_paulo;103.64;0
2002-03-01;minas_gerais;104.76;0
2002-03-01;espirito_santo;104.59;0
2002-03-01;Rio_de_Janeiro;100.7;0
2002-04-01;SC;106.34;0
2002-04-01;parana;109.66;0
2002-04-01;RS;108.34;0
2002-04-01;GO;113.63;0
2002-04-01;DF;113.63;0
2002-04-01;BA;111.08;0
2002-04-01;CE;102.48;0
2002-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-04-01;sao_paulo;103.76;0
2002-04-01;minas_gerais;106.51;0
2002-04-01;espirito_santo;108.15;0
2002-04-01;Rio_de_Janeiro;101.19;0
2002-05-01;SC;105.83;0
2002-05-01;parana;106.41;0
2002-05-01;RS;104.08;0
2002-05-01;GO;110.3;0
2002-05-01;DF;110.3;0
2002-05-01;BA;108.76;0
2002-05-01;CE;102.73;0
2002-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-05-01;sao_paulo;104.09;0
2002-05-01;minas_gerais;105.73;0
2002-05-01;espirito_santo;104.9;0
2002-05-01;Rio_de_Janeiro;101.43;0
2002-06-01;SC;106.99;0
2002-06-01;parana;105.45;0
2002-06-01;RS;106.27;0
2002-06-01;GO;110.49;0
2002-06-01;DF;110.49;0
2002-06-01;BA;111.11;0
2002-06-01;CE;103.62;0
2002-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-06-01;sao_paulo;104.74;0
2002-06-01;minas_gerais;105.38;0
2002-06-01;espirito_santo;106.27;0
2002-06-01;Rio_de_Janeiro;102.38;0
2002-07-01;SC;108.41;0
2002-07-01;parana;109.03;0
2002-07-01;RS;106.05;0
2002-07-01;GO;110.61;0
2002-07-01;DF;110.61;0
2002-07-01;BA;108.19;0
2002-07-01;CE;104.8;0
2002-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-07-01;sao_paulo;105.42;0
2002-07-01;minas_gerais;105.84;0
2002-07-01;espirito_santo;106.1;0
2002-07-01;Rio_de_Janeiro;102.58;0
2002-08-01;SC;109.26;0
2002-08-01;parana;112.8;0
2002-08-01;RS;105.13;0
2002-08-01;GO;110.65;0
2002-08-01;DF;110.65;0
2002-08-01;BA;108.88;0
2002-08-01;CE;105.67;0
2002-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-08-01;sao_paulo;106.12;0
2002-08-01;minas_gerais;107.32;0
2002-08-01;espirito_santo;107.23;0
2002-08-01;Rio_de_Janeiro;103.14;0
2002-09-01;SC;109.33;0
2002-09-01;parana;112.08;0
2002-09-01;RS;103.85;0
2002-09-01;GO;113.03;0
2002-09-01;DF;113.03;0
2002-09-01;BA;109.02;0
2002-09-01;CE;107.49;0
2002-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-09-01;sao_paulo;108.22;0
2002-09-01;minas_gerais;107.53;0
2002-09-01;espirito_santo;107.11;0
2002-09-01;Rio_de_Janeiro;103.35;0
2002-10-01;SC;109.17;0
2002-10-01;parana;111.19;0
2002-10-01;RS;107.19;0
2002-10-01;GO;112.39;0
2002-10-01;DF;112.39;0
2002-10-01;BA;108.99;0
2002-10-01;CE;106.98;0
2002-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-10-01;sao_paulo;107.41;0
2002-10-01;minas_gerais;107.7;0
2002-10-01;espirito_santo;108.1;0
2002-10-01;Rio_de_Janeiro;103.95;0
2002-11-01;SC;108.93;0
2002-11-01;parana;111.6;0
2002-11-01;RS;106.8;0
2002-11-01;GO;113.54;0
2002-11-01;DF;113.54;0
2002-11-01;BA;109.04;0
2002-11-01;CE;107.98;0
2002-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-11-01;sao_paulo;107.5;0
2002-11-01;minas_gerais;107.96;0
2002-11-01;espirito_santo;110.35;0
2002-11-01;Rio_de_Janeiro;103.71;0
2002-12-01;SC;109.72;0
2002-12-01;parana;112;0
2002-12-01;RS;106.91;0
2002-12-01;GO;114.55;0
2002-12-01;DF;114.55;0
2002-12-01;BA;109.54;0
2002-12-01;CE;109.2;0
2002-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2002-12-01;sao_paulo;108.09;0
2002-12-01;minas_gerais;109.06;0
2002-12-01;espirito_santo;111.62;0
2002-12-01;Rio_de_Janeiro;104.7;0
2003-01-01;SC;109.3;0
2003-01-01;parana;111.42;0
2003-01-01;RS;103.97;0
2003-01-01;GO;115.26;0
2003-01-01;DF;115.26;0
2003-01-01;BA;109.42;0
2003-01-01;CE;106.81;0
2003-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-01-01;sao_paulo;108.53;0
2003-01-01;minas_gerais;109.09;0
2003-01-01;espirito_santo;112.28;0
2003-01-01;Rio_de_Janeiro;104.34;0
2003-02-01;SC;108.77;0
2003-02-01;parana;111.89;0
2003-02-01;RS;101.33;0
2003-02-01;GO;119.08;0
2003-02-01;DF;119.08;0
2003-02-01;BA;109.76;0
2003-02-01;CE;107;0
2003-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-02-01;sao_paulo;108.05;0
2003-02-01;minas_gerais;109.37;0
2003-02-01;espirito_santo;111.86;0
2003-02-01;Rio_de_Janeiro;103.77;0
2003-03-01;SC;109.59;0
2003-03-01;parana;113.94;0
2003-03-01;RS;103.52;0
2003-03-01;GO;124.05;0
2003-03-01;DF;124.05;0
2003-03-01;BA;111.51;0
2003-03-01;CE;107.01;0
2003-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-03-01;sao_paulo;108.35;0
2003-03-01;minas_gerais;110.54;0
2003-03-01;espirito_santo;112.31;0
2003-03-01;Rio_de_Janeiro;105.35;0
2003-04-01;SC;109.97;0
2003-04-01;parana;112.96;0
2003-04-01;RS;102.41;0
2003-04-01;GO;123.57;0
2003-04-01;DF;123.57;0
2003-04-01;BA;114.46;0
2003-04-01;CE;107.8;0
2003-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-04-01;sao_paulo;108.62;0
2003-04-01;minas_gerais;110.81;0
2003-04-01;espirito_santo;112.08;0
2003-04-01;Rio_de_Janeiro;105.87;0
2003-05-01;SC;109.95;0
2003-05-01;parana;112.27;0
2003-05-01;RS;104.33;0
2003-05-01;GO;113.6;0
2003-05-01;DF;113.6;0
2003-05-01;BA;112.55;0
2003-05-01;CE;107.75;0
2003-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-05-01;sao_paulo;109.14;0
2003-05-01;minas_gerais;109.68;0
2003-05-01;espirito_santo;110.33;0
2003-05-01;Rio_de_Janeiro;107.31;0
2003-06-01;SC;109.76;0
2003-06-01;parana;111.13;0
2003-06-01;RS;106.31;0
2003-06-01;GO;115.79;0
2003-06-01;DF;115.79;0
2003-06-01;BA;113.97;0
2003-06-01;CE;108.33;0
2003-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-06-01;sao_paulo;109.71;0
2003-06-01;minas_gerais;110.8;0
2003-06-01;espirito_santo;108.73;0
2003-06-01;Rio_de_Janeiro;106.64;0
2003-07-01;SC;108.86;0
2003-07-01;parana;111.05;0
2003-07-01;RS;105.43;0
2003-07-01;GO;114.94;0
2003-07-01;DF;114.94;0
2003-07-01;BA;115.82;0
2003-07-01;CE;109.08;0
2003-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-07-01;sao_paulo;109.22;0
2003-07-01;minas_gerais;110.43;0
2003-07-01;espirito_santo;107.96;0
2003-07-01;Rio_de_Janeiro;106.82;0
2003-08-01;SC;109.08;0
2003-08-01;parana;111.38;0
2003-08-01;RS;106.72;0
2003-08-01;GO;115.09;0
2003-08-01;DF;115.09;0
2003-08-01;BA;116.69;0
2003-08-01;CE;108.98;0
2003-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-08-01;sao_paulo;109.95;0
2003-08-01;minas_gerais;110.15;0
2003-08-01;espirito_santo;110.75;0
2003-08-01;Rio_de_Janeiro;107.42;0
2003-09-01;SC;107.79;0
2003-09-01;parana;112.01;0
2003-09-01;RS;103.86;0
2003-09-01;GO;115.11;0
2003-09-01;DF;115.11;0
2003-09-01;BA;114.45;0
2003-09-01;CE;109.17;0
2003-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-09-01;sao_paulo;109.67;0
2003-09-01;minas_gerais;110.37;0
2003-09-01;espirito_santo;112.95;0
2003-09-01;Rio_de_Janeiro;108.63;0
2003-10-01;SC;110.28;0
2003-10-01;parana;111.63;0
2003-10-01;RS;105;0
2003-10-01;GO;115.08;0
2003-10-01;DF;115.08;0
2003-10-01;BA;113.74;0
2003-10-01;CE;110.41;0
2003-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-10-01;sao_paulo;110.23;0
2003-10-01;minas_gerais;111.06;0
2003-10-01;espirito_santo;114.89;0
2003-10-01;Rio_de_Janeiro;108.42;0
2003-11-01;SC;110.82;0
2003-11-01;parana;110.8;0
2003-11-01;RS;106.15;0
2003-11-01;GO;117.33;0
2003-11-01;DF;117.33;0
2003-11-01;BA;113.32;0
2003-11-01;CE;111.15;0
2003-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-11-01;sao_paulo;111.2;0
2003-11-01;minas_gerais;110.97;0
2003-11-01;espirito_santo;114.38;0
2003-11-01;Rio_de_Janeiro;109.21;0
2003-12-01;SC;110.73;0
2003-12-01;parana;110.85;0
2003-12-01;RS;105.89;0
2003-12-01;GO;119.49;0
2003-12-01;DF;119.49;0
2003-12-01;BA;114.86;0
2003-12-01;CE;111.89;0
2003-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2003-12-01;sao_paulo;111.89;0
2003-12-01;minas_gerais;111.47;0
2003-12-01;espirito_santo;114.5;0
2003-12-01;Rio_de_Janeiro;109.06;0
2004-01-01;SC;111.69;0
2004-01-01;parana;114.21;0
2004-01-01;RS;107.97;0
2004-01-01;GO;120.46;0
2004-01-01;DF;120.46;0
2004-01-01;BA;116.44;0
2004-01-01;CE;113.23;0
2004-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-01-01;sao_paulo;112.58;0
2004-01-01;minas_gerais;113.51;0
2004-01-01;espirito_santo;117.81;0
2004-01-01;Rio_de_Janeiro;109.95;0
2004-02-01;SC;111.16;0
2004-02-01;parana;112.36;0
2004-02-01;RS;108.81;0
2004-02-01;GO;117.71;0
2004-02-01;DF;117.71;0
2004-02-01;BA;117.79;0
2004-02-01;CE;113.46;0
2004-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-02-01;sao_paulo;112.87;0
2004-02-01;minas_gerais;114.02;0
2004-02-01;espirito_santo;115.79;0
2004-02-01;Rio_de_Janeiro;110.5;0
2004-03-01;SC;110.94;0
2004-03-01;parana;110.52;0
2004-03-01;RS;108.56;0
2004-03-01;GO;117.73;0
2004-03-01;DF;117.73;0
2004-03-01;BA;115.1;0
2004-03-01;CE;115.31;0
2004-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-03-01;sao_paulo;113.54;0
2004-03-01;minas_gerais;113.12;0
2004-03-01;espirito_santo;117.39;0
2004-03-01;Rio_de_Janeiro;109.74;0
2004-04-01;SC;111.49;0
2004-04-01;parana;112.9;0
2004-04-01;RS;108.9;0
