data;estado;value;treated
2010-07-01;ceara;  498534;0
2010-07-01;df;  372529;0
2010-07-01;es;  494118;0
2010-07-01;goias;  683789;0
2010-07-01;maranhao;  244576;0
2010-07-01;mt;  451389;0
2010-07-01;ms;  388793;0
2010-07-01;mg; 2322841;0
2010-07-01;para;  432552;0
2010-07-01;pb;  214806;0
2010-07-01;parana; 1089156;0
2010-07-01;pe;  664037;0
2010-07-01;piaui;  154320;0
2010-07-01;rj; 1759628;0
2010-07-01;rn;  235063;0
2010-07-01;rs; 1456078;0
2010-07-01;rondonia;  190713;0
2010-07-01;rr;   38608;0
2010-07-01;sc;  837570;0
2010-07-01;sp; 7615055;0
2010-07-01;sergipe;  135406;0
2010-07-01;tocantins;   97377;0
2010-08-01;acre;   52286;0
2010-08-01;alagoas;  243734;0
2010-08-01;amapa;   38850;0
2010-08-01;amazonas;  495282;0
2010-08-01;bahia;  959345;0
2010-08-01;ceara;  541196;0
2010-08-01;df;  389543;0
2010-08-01;es;  528081;0
2010-08-01;goias;  738791;0
2010-08-01;maranhao;  249945;0
2010-08-01;mt;  427865;0
2010-08-01;ms;  399762;0
2010-08-01;mg; 3289699;0
2010-08-01;para;  424383;0
2010-08-01;pb;  207785;0
2010-08-01;parana; 1217292;0
2010-08-01;pe;  715104;0
2010-08-01;piaui;  164430;0
2010-08-01;rj; 1831991;0
2010-08-01;rn;  238839;0
2010-08-01;rs; 1706100;0
2010-08-01;rondonia;  184810;0
2010-08-01;rr;   38223;0
2010-08-01;sc;  854702;0
2010-08-01;sp; 7753966;0
2010-08-01;sergipe;  143284;0
2010-08-01;tocantins;   99222;0
2010-09-01;acre;   54086;0
2010-09-01;alagoas;  160472;0
2010-09-01;amapa;   41090;0
2010-09-01;amazonas;  507948;0
2010-09-01;bahia; 1032987;0
2010-09-01;ceara;  538465;0
2010-09-01;df;  386130;0
2010-09-01;es;  563517;0
2010-09-01;goias;  662758;0
2010-09-01;maranhao;  275723;0
2010-09-01;mt;  437548;0
2010-09-01;ms;  406162;0
2010-09-01;mg; 2294678;0
2010-09-01;para;  486892;0
2010-09-01;pb;  214308;0
2010-09-01;parana; 1099920;0
